time_YYMMDD_HHMMSS,WindSpeedMax,WindDirection,AirTemperature,AirPressure,AirHumidity,WindSpeed
2023-04-20 00:00:00,3.3,283.19534,11.0,1017.8133,83.08,2.0133333
2023-04-20 00:15:00,3.9,280.78137,10.846668,1017.5733,84.15333,2.88
2023-04-20 00:30:00,3.1,277.2381,10.9,1017.8716,85.4857,2.0285714
2023-04-20 00:45:00,3.7,286.02686,11.0,1017.93585,85.435715,1.9142854
2023-04-20 01:00:00,4.1,269.33698,11.1,1017.9715,85.12856,2.0785716
2023-04-20 01:15:00,2.9,283.52322,10.957143,1017.9072,85.97858,1.8642856
2023-04-20 01:30:00,3.4,285.21802,10.664286,1018.02844,87.207146,2.357143
2023-04-20 01:45:00,3.9,288.0018,10.5,1018.12,87.68667,2.7066665
2023-04-20 02:00:00,2.8,300.4333,10.4,1018.4733,88.89335,2.1
2023-04-20 02:15:00,3.0,275.4171,10.400001,1019.0213,89.38573,1.7428571
2023-04-20 02:30:00,3.9,298.36188,10.514285,1019.35,88.29999,2.885714
2023-04-20 02:45:00,3.6,306.0722,10.271429,1019.0999,88.90001,2.4357142
2023-04-20 03:00:00,2.8,276.71442,10.099999,1019.2143,89.871445,1.6357143
2023-04-20 03:15:00,2.5,279.65503,10.300001,1019.63995,89.40002,1.3866667
2023-04-20 03:30:00,1.1,306.73117,10.300001,1019.79987,88.92667,0.7066667
2023-04-20 03:45:00,2.3,250.01942,10.242858,1020.08575,88.59286,1.6999999
2023-04-20 04:00:00,1.8,287.28656,10.400001,1020.7215,88.5,1.0714285
2023-04-20 04:15:00,3.0,268.2885,10.664285,1022.1144,86.84286,1.9285715
2023-04-20 04:30:00,3.9,257.14603,10.992858,1022.8214,85.16428,2.5142858
2023-04-20 04:45:00,2.2,292.49994,11.300002,1023.5,83.75714,1.1357144
2023-04-20 05:00:00,5.2,261.4153,11.566667,1022.5867,81.14665,2.14
2023-04-20 05:15:00,4.9,268.133,11.506667,1021.40015,81.566666,3.0133333
2023-04-20 05:30:00,5.6,286.34534,11.664284,1021.1356,82.21428,3.142857
2023-04-20 05:45:00,5.2,285.5542,11.6,1020.47864,82.96429,2.5499997
2023-04-20 06:00:00,5.1,265.2286,11.6,1020.4501,83.57142,2.964286
2023-04-20 06:15:00,4.9,290.0752,11.699998,1020.2001,83.58571,2.164286
2023-04-20 06:30:00,4.9,270.46048,11.671427,1020.02844,83.66429,2.2999997
2023-04-20 06:45:00,4.2,269.78616,11.800002,1020.24677,82.81333,2.2666667
2023-04-20 07:00:00,5.8,265.3939,11.966666,1020.3268,83.22667,3.3066669
2023-04-20 07:15:00,9.0,277.10312,12.457143,1020.40717,80.42857,3.3285713
2023-04-20 07:30:00,8.0,295.5429,12.471427,1018.6143,80.51428,3.5142858
2023-04-20 07:45:00,5.1,282.15918,12.300002,1019.1786,82.74285,2.1857145
2023-04-20 08:00:00,5.8,273.94263,12.42143,1019.8072,82.04999,3.0357144
2023-04-20 08:15:00,5.1,304.54312,12.849998,1019.74274,77.77143,2.5
2023-04-20 08:30:00,5.8,305.84494,13.040003,1018.80005,76.37334,3.3933332
2023-04-20 08:45:00,9.1,308.8077,13.486668,1018.57996,72.613335,6.4999995
2023-04-20 09:00:00,7.3,299.66296,13.571431,1017.7286,72.75001,5.2999997
2023-04-20 09:15:00,9.5,307.78745,13.899999,1017.7786,70.178566,7.578572
2023-04-20 09:30:00,9.9,309.93066,13.428571,1016.4429,72.48571,8.27857
2023-04-20 09:45:00,8.5,309.70694,13.671427,1016.9072,72.35714,6.964286
2023-04-20 10:00:00,11.1,307.2276,13.685713,1016.66437,72.549995,8.178571
2023-04-20 10:15:00,8.7,313.91602,13.480001,1016.55994,72.346664,6.2799997
2023-04-20 10:30:00,9.3,305.80716,13.760001,1017.56,71.37333,7.2
2023-04-20 10:45:00,8.9,307.35635,13.842858,1016.90704,71.457146,5.75
2023-04-20 11:00:00,10.5,310.3125,13.914287,1016.4429,70.55714,7.9928575
2023-04-20 11:15:00,12.1,318.61902,13.485715,1016.65,71.22856,9.185714
2023-04-20 11:30:00,8.6,322.26044,13.8714285,1016.14276,68.6,6.9928575
2023-04-20 11:45:00,10.4,310.46368,14.307142,1016.04285,67.821434,6.85
2023-04-20 12:00:00,11.5,305.80075,14.559999,1015.77997,66.753334,7.2933335
2023-04-20 12:15:00,11.6,299.19342,14.399998,1015.12,67.16,7.94
2023-04-20 12:30:00,11.2,309.81403,14.278571,1014.9858,66.90714,7.8499994
2023-04-20 12:45:00,8.2,310.63544,14.071429,1014.7143,68.40715,6.3142853
2023-04-20 13:00:00,9.6,319.00366,14.5,1014.48584,65.950005,7.321429
2023-04-20 13:15:00,12.1,318.79907,14.342858,1013.70013,66.58572,8.842856
2023-04-20 13:30:00,11.2,308.014,14.100001,1013.5643,67.85714,5.8428574
2023-04-20 13:45:00,10.5,318.1897,14.100002,1013.5332,68.34,7.2333326
2023-04-20 14:00:00,12.8,324.02432,13.946666,1013.2467,68.380005,10.413332
2023-04-20 14:15:00,9.9,308.3599,13.899999,1013.3643,69.38572,6.892857
2023-04-20 14:30:00,10.3,315.28397,13.699998,1013.46423,71.25715,5.964286
2023-04-20 14:45:00,11.4,329.3206,13.664287,1013.7358,71.78571,7.621428
2023-04-20 15:00:00,5.7,316.3493,13.5,1013.8644,70.12857,3.7928567
2023-04-20 15:15:00,3.7,309.67938,13.657143,1013.78564,67.77143,1.6928571
2023-04-20 15:30:00,6.3,321.755,13.699998,1013.74005,67.066666,4.8799996
2023-04-20 15:45:00,8.6,325.60284,13.559999,1013.72,67.36667,6.0199995
2023-04-20 16:00:00,4.9,311.45352,13.450002,1013.7928,68.86429,3.5642855
